run_id,treatment,func,rep,time_s,energy_j,cpu_pct,mem_mb
run_297_repetition_0,optimized,max_subarray,28,29.53728199,89.34,25.22390572,4.0625
run_298_repetition_0,optimized,max_subarray,29,29.39798713,89.34,25.21824324,4.140625
run_299_repetition_0,optimized,max_subarray,30,29.77198005,91.98,25.21538462,4.03125
run_300_repetition_0,baseline,mergesort,1,39.79051709,118.37,25.28542714,4.015625
run_301_repetition_0,baseline,mergesort,2,39.87241435,118.41,25.24937343,4.078125
run_302_repetition_0,baseline,mergesort,3,39.96674514,118.38,25.12506266,4.03125
run_303_repetition_0,baseline,mergesort,4,39.8965137,118.38,25.23233083,4.109375
run_304_repetition_0,baseline,mergesort,5,39.94907117,118.4,25.19749373,3.984375
run_305_repetition_0,baseline,mergesort,6,40.00266695,118.33,25.0545,4.046875
run_306_repetition_0,baseline,mergesort,7,39.82596087,118.38,25.20276382,4.078125
run_307_repetition_0,baseline,mergesort,8,39.88082099,118.4,25.18295739,4.015625
run_308_repetition_0,baseline,mergesort,9,39.95203471,118.37,25.25588972,4.03125
run_309_repetition_0,baseline,mergesort,10,39.8477881,118.37,25.24221106,3.9375
run_310_repetition_0,baseline,mergesort,11,39.9026351,118.4,25.21553885,4.03125
run_311_repetition_0,baseline,mergesort,12,39.92290998,118.4,25.26090226,4.0625
run_312_repetition_0,baseline,mergesort,13,39.89515901,118.39,25.19674185,4.015625
run_313_repetition_0,baseline,mergesort,14,39.8891201,118.4,25.16817043,4.03125
run_314_repetition_0,baseline,mergesort,15,39.89920783,118.37,25.17638191,3.953125
run_315_repetition_0,baseline,mergesort,16,39.99286199,118.36,25.23082707,4.03125
run_316_repetition_0,baseline,mergesort,17,39.92690516,118.33,25.08675,4.078125
run_317_repetition_0,baseline,mergesort,18,39.83316112,118.38,25.27889447,4.015625
run_318_repetition_0,baseline,mergesort,19,39.97815132,118.4,25.17418546,4.078125
run_319_repetition_0,baseline,mergesort,20,39.9469552,118.4,25.18120301,3.953125
run_320_repetition_0,baseline,mergesort,21,39.81714487,118.38,25.29168766,3.953125
run_321_repetition_0,baseline,mergesort,22,39.95231104,118.4,25.21629073,4.0625
run_322_repetition_0,baseline,mergesort,23,39.75223088,115.72,25.26372796,4.0625
run_323_repetition_0,baseline,mergesort,24,39.75682878,118.4,25.13501259,4.078125
run_324_repetition_0,baseline,mergesort,25,39.87991714,118.37,25.27763819,4.015625
run_325_repetition_0,baseline,mergesort,26,40.05933905,118.39,25.12225,4.046875
